name,pass_total,pass_1,fail_1,pass_2,fail_2,broken_data,,0
0261b53e_https___kompas.com_.png,21,20,1,12,9,0,,1
034c98a7_https___roblox.com_.png,2,2,0,2,0,0,,1
03a9e3fa_https___otzovik.com_.png,2,2,0,2,0,0,,1
060df3d1_https___nexusmods.com_.png,30,30,0,9,21,0,,1
0a44f209_https___hoyoverse.com_.png,13,12,1,13,0,0,,1
0bb02234_https___1000.menu_.png,51,51,0,51,0,0,,1
0e6af338_https___xbox.com_.png,5,3,2,5,0,0,,1
102ceb89_https___walmart.com_.png,4,4,0,3,1,0,,1
1151047b_https___ea.com_.png,5,5,0,5,0,0,,1
13266a0a_https___starbucks.com_.png,15,15,0,9,6,0,,1
13819f86_https___homesandgardens.com_.png,16,16,0,9,7,0,,1
1483db2f_https___sport24.ru_.png,4,4,0,3,1,0,,1
150d970c_https___sikayetvar.com_.png,12,12,0,6,0,0,,1
152e2f22_https___countryliving.com_.png,2,2,0,2,0,0,,1
179f2934_https___sports.yahoo.com_.png,8,8,0,7,1,0,,1
19d37a9c_https___mercari.com_.png,8,8,0,6,2,0,,1
1f748608_https___asda.com_.png,6,6,0,5,1,0,,1
21fb2e9a_https___williams-sonoma.com_.png,,,0,,0,1,,1
232df189_https___ups.com_.png,5,5,0,5,0,0,,1
233f6468_https___fc2.com_.png,3,3,0,2,2,0,,1
25807472_https___crazygames.com_.png,5,4,1,5,0,0,,1
268c97cb_https___office365.com_.png,13,13,0,13,0,0,,1
292eb4bd_https___thekitchn.com_.png,11,11,0,11,2,0,,1
298e4090_https___gamerant.com_.png,3,3,0,3,0,0,,1
29f95c68_https___thepioneerwoman.com_.png,3,3,0,3,0,0,,1
2bbfc652_https___news.yahoo.com_.png,2,2,0,2,0,0,,1
2bd307bc_https___dexerto.com_.png,19,19,0,19,0,0,,1
2c40e0db_https___office.com_.png,6,6,0,6,0,0,,1
2e9d176b_https___live.com_.png,3,3,0,3,0,0,,1
2f0e230e_https___usatoday.com_.png,1,1,0,1,0,0,,1
2f50c46b_https___ebay.co.uk_.png,13,12,1,13,0,0,,1
301c6682_https___woolworths.com.au_.png,30,30,0,29,1,0,,1
31d77567_https___music.youtube.com_.png,26,26,0,26,0,0,,1
329b9e1e_https___steamcommunity.com_.png,3,3,0,3,2,0,,1
3334dc3f_https___ok.ru_.png,3,3,0,3,0,0,,1
337b26c7_https___op.gg_.png,6,6,0,4,2,0,,1
37b904a7_https___pinterest.com_.png,3,3,0,3,0,0,,1
3907fcc8_https___market.yandex.ru_.png,8,8,0,8,0,0,,1
390f5b1b_https___olx.pl_.png,4,4,0,4,1,0,,1
398bb706_https___redfin.com_.png,4,4,0,4,0,0,,1
